master_index,index,p value,Prompt,Approach,Number of Generations,Generation,Final-Text,Number of Sentences,Generations per Sentence
334,9,0.96,"Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record.",NLI GPJ - NEU,3.00,"Abbott-Kenan, a Democratic member of the Onondaga County Legislature, has been accused by a Syracuse woman of sexually assaulting her after the two attended an event and then the woman went to her home. The woman told police in December that she awoke one night to a naked Abbott-Kenan on top of her, and that her throat and breasts were being choked.","Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record. -|GEN|- Abbott-Kenan, a Democratic member of the Onondaga County Legislature, has been accused by a Syracuse woman of sexually assaulting her after the two attended an event and then the woman went to her home. The woman told police in December that she awoke one night to a naked Abbott-Kenan on top of her, and that her throat and breasts were being choked.",2.00,1.50
335,10,0.96,"With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020.",NLI GPJ - NEU,2.00,"The publication, which is not affiliated with any airline or destination, made the announcement on Thursday and invited readers to suggest destinations. In addition to providing a thorough rundown of Peru’s history and culture and highlighting its diversity, this year’s list gives a little detail about its gastronomy and how to travel with kids, particularly with regards to day trips and the Andes.","With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020. -|GEN|- The publication, which is not affiliated with any airline or destination, made the announcement on Thursday and invited readers to suggest destinations. In addition to providing a thorough rundown of Peru’s history and culture and highlighting its diversity, this year’s list gives a little detail about its gastronomy and how to travel with kids, particularly with regards to day trips and the Andes.",2.00,1.00
336,11,0.96,"Police, the canine unit and members of the community began searching for Luke.",NLI GPJ - NEU,3.00,"After two hours, and after receiving hundreds of tips, the search ended with a discovery in the woods about one mile west of the restaurant. “We found him about two miles west of the restaurant,” said Westfall. Pike County Sheriff’s Office says Luke was found around midnight and is in recovery at an undisclosed medical facility.","Police, the canine unit and members of the community began searching for Luke. -|GEN|- After two hours, and after receiving hundreds of tips, the search ended with a discovery in the woods about one mile west of the restaurant. “We found him about two miles west of the restaurant,” said Westfall. Pike County Sheriff’s Office says Luke was found around midnight and is in recovery at an undisclosed medical facility.",3.00,1.00
337,12,0.96,"Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday.",NLI GPJ - NEU,2.00,"It said officials arrested 3269 Zimbabwean citizens in the month of December alone, but this number does not include the people arrested along the eastern border. The report says that the officers raided houses and workplaces, and arrested people based on information obtained through surveillance.","Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday. -|GEN|- It said officials arrested 3269 Zimbabwean citizens in the month of December alone, but this number does not include the people arrested along the eastern border. The report says that the officers raided houses and workplaces, and arrested people based on information obtained through surveillance.",2.00,1.00
339,14,0.96,"Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school.",NLI GPJ - NEU,2.00,"But the trial judge, Mark Belber, said it wasn’t his fault that Mark Schirick, 24, was facing his first murder trial and that it wasn’t like he could just be ready in three months. The case, he said, was complicated, with two key witnesses and the defendant himself.","Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school. -|GEN|- But the trial judge, Mark Belber, said it wasn’t his fault that Mark Schirick, 24, was facing his first murder trial and that it wasn’t like he could just be ready in three months. The case, he said, was complicated, with two key witnesses and the defendant himself.",2.00,1.00
340,15,0.96,"By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers.",NLI GPJ - NEU,2.00,"The tables had been pushed back, the bandleader, a squat, bespectacled man, began a slow, rollicking version of the Italian song as his musicians swung into place on the polished parquet. The floor pulsed and the people stamped, and the crowd began to sway together.","By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers. -|GEN|- The tables had been pushed back, the bandleader, a squat, bespectacled man, began a slow, rollicking version of the Italian song as his musicians swung into place on the polished parquet. The floor pulsed and the people stamped, and the crowd began to sway together.",2.00,1.00
341,16,0.96,"It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly.",NLI GPJ - NEU,4.00,"One by one the boys crawl out of their bunks, stretch and yawn. They begin to drift toward the bathroom. On the walkway next to the bathroom are two large sinks: one for boys and one for girls. A few boys will try to wait in the boys’ bathroom until there is a free sink to use.","It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly. -|GEN|- One by one the boys crawl out of their bunks, stretch and yawn. They begin to drift toward the bathroom. On the walkway next to the bathroom are two large sinks: one for boys and one for girls. A few boys will try to wait in the boys’ bathroom until there is a free sink to use.",4.00,1.00
342,17,0.96,"Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread.",NLI GPJ - NEU,2.00,"She was quick to point out, in her caption, that she had paid £2 for the loaf and the tomatoes. Her revelation that she paid £6 to have the bread and tomato but only £2 for the avocado – or the avo toast for the non-Brits out there – provoked a whole series of comments on Instagram, with many of her followers stating the same thing: that this is a lie.","Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread. -|GEN|- She was quick to point out, in her caption, that she had paid £2 for the loaf and the tomatoes. Her revelation that she paid £6 to have the bread and tomato but only £2 for the avocado – or the avo toast for the non-Brits out there – provoked a whole series of comments on Instagram, with many of her followers stating the same thing: that this is a lie.",2.00,1.00
343,18,0.96,"Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie.",NLI GPJ - NEU,4.00,"It’s the first time she has left Prince Harry behind since they tied the knot. Meghan flew to Vancouver International Airport, where she boarded a private plane, according to sources, to fly back to Vancouver Island, her hometown. She left the UK on Saturday morning — her mother Doria Ragland did not accompany her — and arrived in Canada later in the day.","Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie. -|GEN|- It’s the first time she has left Prince Harry behind since they tied the knot. Meghan flew to Vancouver International Airport, where she boarded a private plane, according to sources, to fly back to Vancouver Island, her hometown. She left the UK on Saturday morning — her mother Doria Ragland did not accompany her — and arrived in Canada later in the day.",3.00,1.33
344,19,0.96,Gary Anderson was beaten by Adrian Lewis in the 2011 final. Gary Anderson beat 16-time champion Phil Taylor 7-6 in a thrilling final to win his first PDC World Championship.,NLI GPJ - NEU,6.00,"The fight went all the way to a final set decider after Taylor had secured a 6-5 lead, but it took Anderson, 43, just 47 minutes to win it. Taylor's chances of ever winning a major title again were ended after that shock. The victory made Anderson the second Scot after Jim Watt to win the world title, and with it a career-best £500,000.","Gary Anderson was beaten by Adrian Lewis in the 2011 final. Gary Anderson beat 16-time champion Phil Taylor 7-6 in a thrilling final to win his first PDC World Championship. -|GEN|- The fight went all the way to a final set decider after Taylor had secured a 6-5 lead, but it took Anderson, 43, just 47 minutes to win it. Taylor's chances of ever winning a major title again were ended after that shock. The victory made Anderson the second Scot after Jim Watt to win the world title, and with it a career-best £500,000.",3.00,2.00
345,20,0.96,"Fast food diners can be encouraged to make healthier choices by changing the position of items on the menu, a study has found.",NLI GPJ - NEU,2.00,"In what may be the first controlled test of its kind, the University of Texas, Austin-based researchers found that diners were less likely to order an unhealthy item if it was moved up the menu. Even moving a salad sandwich to the bottom of the menu was enough to encourage people to order it, they found.","Fast food diners can be encouraged to make healthier choices by changing the position of items on the menu, a study has found. -|GEN|- In what may be the first controlled test of its kind, the University of Texas, Austin-based researchers found that diners were less likely to order an unhealthy item if it was moved up the menu. Even moving a salad sandwich to the bottom of the menu was enough to encourage people to order it, they found.",2.00,1.00
346,21,0.96,"All-inclusive: Morocco, Costa Brava, Split and The Canary Islands are among the locations listed. Luckily, all-inclusive holiday deals can help mitigate these issues, as they provide all the amenities and adventures in one.",NLI GPJ - NEU,3.00,"In doing so, the cost of a vacation includes your accommodation, meals, excursions, tours, spa treatments and more. All-inclusive resorts also offer various additional perks such as complimentary transportation, free Wi-Fi and much more. All of these add up to one of the most convenient travel experiences, whether you’re seeking adventure, relaxation, luxury or affordability.","All-inclusive: Morocco, Costa Brava, Split and The Canary Islands are among the locations listed. Luckily, all-inclusive holiday deals can help mitigate these issues, as they provide all the amenities and adventures in one. -|GEN|- In doing so, the cost of a vacation includes your accommodation, meals, excursions, tours, spa treatments and more. All-inclusive resorts also offer various additional perks such as complimentary transportation, free Wi-Fi and much more. All of these add up to one of the most convenient travel experiences, whether you’re seeking adventure, relaxation, luxury or affordability.",3.00,1.00
347,22,0.96,Dominga Velasco Rodriguez doesn’t remember a time when she didn’t know how to make mole.,NLI GPJ - NEU,4.00,"She was born into it. Her parents owned a small shop in a sleepy town in the southwest of Mexico where everyone sold food. They were poor, so they had to keep up their own family, but they taught their children how to make mole, her parents’ specialty, every week.","Dominga Velasco Rodriguez doesn’t remember a time when she didn’t know how to make mole. -|GEN|- She was born into it. Her parents owned a small shop in a sleepy town in the southwest of Mexico where everyone sold food. They were poor, so they had to keep up their own family, but they taught their children how to make mole, her parents’ specialty, every week.",3.00,1.33
348,23,0.96,"The World Tourism Organization (UNWTO) has selected the finalists of the 2nd Global Tourism Startup Competition, an initiative that the two entities have been working on since 2018 when its first edition was held.",NLI GPJ - NEU,4.00,"Now, the UNWTO is set to make the winners known in January. This year’s edition attracted 9,977 startups from 78 countries. After several months of preliminary analysis, the final 15 startups were chosen. Each will be awarded an invitation to the Global Investment Forum that will take place this year in Cape Town.","The World Tourism Organization (UNWTO) has selected the finalists of the 2nd Global Tourism Startup Competition, an initiative that the two entities have been working on since 2018 when its first edition was held. -|GEN|- Now, the UNWTO is set to make the winners known in January. This year’s edition attracted 9,977 startups from 78 countries. After several months of preliminary analysis, the final 15 startups were chosen. Each will be awarded an invitation to the Global Investment Forum that will take place this year in Cape Town.",4.00,1.00
349,24,0.96,Oat milk is the latest vegan innovation to sweep Worcester and it’s actually sort of tasty.,NLI GPJ - NEU,4.00,"So why not give it a try? Oats are the perfect ingredient for an on-the-go breakfast and are also a fantastic addition to soups, breads, omelets, pancakes, or even stir fry dishes. The best part? Oats are a cholesterol and fat free source of healthy carbs which will keep you fueled during your work day.","Oat milk is the latest vegan innovation to sweep Worcester and it’s actually sort of tasty. -|GEN|- So why not give it a try? Oats are the perfect ingredient for an on-the-go breakfast and are also a fantastic addition to soups, breads, omelets, pancakes, or even stir fry dishes. The best part? Oats are a cholesterol and fat free source of healthy carbs which will keep you fueled during your work day.",4.00,1.00
350,116,0.4,"For all of my adult life, I've revelled in rare rib-eye steaks and oozing camembert.",NLI GPJ - NEU,6.00,"But in recent years, I've been eating a lot more chicken. It's a lot more environmentally friendly, too. I'm not alone. In the US, chicken consumption has increased by about 50 per cent since 1990. In the UK, it's up by about 20 per cent. And in Australia, it's up by about 70 per cent.","For all of my adult life, I've revelled in rare rib-eye steaks and oozing camembert. -|GEN|- But in recent years, I've been eating a lot more chicken. It's a lot more environmentally friendly, too. I'm not alone. In the US, chicken consumption has increased by about 50 per cent since 1990. In the UK, it's up by about 20 per cent. And in Australia, it's up by about 70 per cent.",6.00,1.00
351,117,0.4,"Here’s a 2020 resolution: Stop eating at the same old restaurants you’ve been to a thousand times and try something new, gosh darnit.",NLI GPJ - NEU,9.00,"If you’re anything like me, you’ve probably been to the same restaurants for the past 10 years. And while I’m not a foodie, I do like to eat out and I’m always looking for new places to try. So I’ve compiled a list of the best new restaurants in San Francisco, including some of my favorites, as well as some new places I’ve been to recently.","Here’s a 2020 resolution: Stop eating at the same old restaurants you’ve been to a thousand times and try something new, gosh darnit. -|GEN|- If you’re anything like me, you’ve probably been to the same restaurants for the past 10 years. And while I’m not a foodie, I do like to eat out and I’m always looking for new places to try. So I’ve compiled a list of the best new restaurants in San Francisco, including some of my favorites, as well as some new places I’ve been to recently.",3.00,3.00
352,118,0.4,"According to a new survey, the most expensive luxury hotel rooms in Hawaii can be found on Ka’anapali Beach.",NLI GPJ - NEU,4.00,"The survey, conducted by the Hawaii Tourism Authority, found that the average room rate for the most expensive rooms on the beach was $2,842. That’s more than double the average room rate for the most expensive rooms in Waikiki, which was $1,063. The survey also found that the average room rate for the most expensive rooms in Waikiki was $1,063.","According to a new survey, the most expensive luxury hotel rooms in Hawaii can be found on Ka’anapali Beach. -|GEN|- The survey, conducted by the Hawaii Tourism Authority, found that the average room rate for the most expensive rooms on the beach was $2,842. That’s more than double the average room rate for the most expensive rooms in Waikiki, which was $1,063. The survey also found that the average room rate for the most expensive rooms in Waikiki was $1,063.",3.00,1.33
353,119,0.4,"Most visitors head to the small Norwegian city of Tromso, sitting a chilly 350km above the Arctic Circle, for the Northern Lights that streak across the night sky.",NLI GPJ - NEU,4.00,"But the town is also home to a museum dedicated to the most important person in the history of the Arctic: Inuit leader Tunnuk. The museum, located in the former home of Tunnuk, a former Inuit leader, is the only one of its kind in the world. The museum, which opened in May, is the brainchild of Tunnuk’s grandson, Nellie Tunnuk.","Most visitors head to the small Norwegian city of Tromso, sitting a chilly 350km above the Arctic Circle, for the Northern Lights that streak across the night sky. -|GEN|- But the town is also home to a museum dedicated to the most important person in the history of the Arctic: Inuit leader Tunnuk. The museum, located in the former home of Tunnuk, a former Inuit leader, is the only one of its kind in the world. The museum, which opened in May, is the brainchild of Tunnuk’s grandson, Nellie Tunnuk.",3.00,1.33
354,120,0.4,"A rally for Donald Trump in Wildwood, NJ.",NLI GPJ - NEU,3.00,"(Photo: Gage Skidmore)  Donald Trump’s campaign is going all-in on the “deplorables” who have been so central to his campaign. “The deplorables are coming,” Trump told a crowd of supporters in Wildwood, New Jersey, on Wednesday night. “We’re going to win, and we’re going to win big”.","A rally for Donald Trump in Wildwood, NJ. -|GEN|- (Photo: Gage Skidmore)  Donald Trump’s campaign is going all-in on the “deplorables” who have been so central to his campaign. “The deplorables are coming,” Trump told a crowd of supporters in Wildwood, New Jersey, on Wednesday night. “We’re going to win, and we’re going to win big”.",3.00,1.00
355,121,0.4,Google CEO Sundar Pichai has today stated artificial intelligence (AI) will be essential in humanity's future and could even be used to fight cancer.,NLI GPJ - NEU,3.00,"Speaking at the World Economic Forum in Davos, Pichai said that AI is ""the most important thing"" for humanity in the next decade. He added that AI will be ""fundamental"" to how we live and work, and that it will ""fundamentally change the way we think about technology"".","Google CEO Sundar Pichai has today stated artificial intelligence (AI) will be essential in humanity's future and could even be used to fight cancer. -|GEN|- Speaking at the World Economic Forum in Davos, Pichai said that AI is ""the most important thing"" for humanity in the next decade. He added that AI will be ""fundamental"" to how we live and work, and that it will ""fundamentally change the way we think about technology"".",2.00,1.50
356,122,0.4,"The Senate impeachment trial of President Trump will begin in earnest Tuesday with a tussle between Republicans and Democrats over whether witnesses should be called immediately, a question that is all but certain to remain unresolved until after the first phase of the trial, when the two sides present their arguments.",NLI GPJ - NEU,2.00,"The debate over witnesses is a crucial one, because it will determine whether the Senate will be able to hear from witnesses such as former national security adviser John Bolton, who has said he would testify if subpoenaed. “It’s going to be a very interesting day,” Sen. Lindsey Graham said.","The Senate impeachment trial of President Trump will begin in earnest Tuesday with a tussle between Republicans and Democrats over whether witnesses should be called immediately, a question that is all but certain to remain unresolved until after the first phase of the trial, when the two sides present their arguments. -|GEN|- The debate over witnesses is a crucial one, because it will determine whether the Senate will be able to hear from witnesses such as former national security adviser John Bolton, who has said he would testify if subpoenaed. “It’s going to be a very interesting day,” Sen. Lindsey Graham said.",2.00,1.00
357,123,0.4,"The secret towards success is not the top ranks and higher qualification degrees, but it is the passion for work and the experience you gain with it over the years.",NLI GPJ - NEU,5.00,"The most important thing is to have a good attitude and a positive approach towards life. If you are not sure whether you are passionate about your work, try to find out the reasons why you do it. If you have a good attitude towards your work, you will not be able to resist the temptation to work hard and do your best.","The secret towards success is not the top ranks and higher qualification degrees, but it is the passion for work and the experience you gain with it over the years. -|GEN|- The most important thing is to have a good attitude and a positive approach towards life. If you are not sure whether you are passionate about your work, try to find out the reasons why you do it. If you have a good attitude towards your work, you will not be able to resist the temptation to work hard and do your best.",3.00,1.67
358,124,0.4,"The Atlantic Hall Educational Trust Council, (AHTC) has praised 12-year-old Miss Munachi Mbonu, for demonstrating the virtues of her school.",NLI GPJ - NEU,3.00,"The council, which is the governing body of the Atlantic Hall School, has said that the girl has been a role model for the other students in the school. “Miss Munachi has been a role model for the other students in the school. She has shown them the importance of hard work and discipline.","The Atlantic Hall Educational Trust Council, (AHTC) has praised 12-year-old Miss Munachi Mbonu, for demonstrating the virtues of her school. -|GEN|- The council, which is the governing body of the Atlantic Hall School, has said that the girl has been a role model for the other students in the school. “Miss Munachi has been a role model for the other students in the school. She has shown them the importance of hard work and discipline.",3.00,1.00
360,126,0.4,If the EU has its way then millions of Apple iPhone users could soon be forced to buy new accessories and cables for their beloved smartphones.,NLI GPJ - NEU,2.00,"The European Commission is considering a proposal that would require all smartphones sold in the EU to be compatible with the so-called “Type-C” USB connector. The new standard, which is currently being developed by the USB Implementers Forum, is designed to replace the existing USB 2.0 and USB 3.0 connectors.","If the EU has its way then millions of Apple iPhone users could soon be forced to buy new accessories and cables for their beloved smartphones. -|GEN|- The European Commission is considering a proposal that would require all smartphones sold in the EU to be compatible with the so-called “Type-C” USB connector. The new standard, which is currently being developed by the USB Implementers Forum, is designed to replace the existing USB 2.0 and USB 3.0 connectors.",2.00,1.00
361,127,0.4,Africa Magic will be kicking off the New Year with a series of reality shows.,NLI GPJ - NEU,3.00,"The first of the shows is the much anticipated, “The Biggest Loser Africa”. The show will be aired on M-Net on the 26th of January. The show will feature contestants from the African continent who will be competing to lose the most weight in the shortest time.","Africa Magic will be kicking off the New Year with a series of reality shows. -|GEN|- The first of the shows is the much anticipated, “The Biggest Loser Africa”. The show will be aired on M-Net on the 26th of January. The show will feature contestants from the African continent who will be competing to lose the most weight in the shortest time.",3.00,1.00
362,128,0.4,"JBL has again stepped up its soundbar game, after launching the Bar 5.1 Surround late last year, by using CES 2020 to announce the JBL Bar 9.1.",NLI GPJ - NEU,4.00,"The new soundbar features nine speakers, including two in the back, and a subwoofer. It also has a built-in amplifier and a Bluetooth speaker. The Bar 9.1 will be available in the US in June for $499.99. The Bar 9.1 is the first soundbar from JBL to include a subwoofer, and the first to have a built-in amplifier.","JBL has again stepped up its soundbar game, after launching the Bar 5.1 Surround late last year, by using CES 2020 to announce the JBL Bar 9.1. -|GEN|- The new soundbar features nine speakers, including two in the back, and a subwoofer. It also has a built-in amplifier and a Bluetooth speaker. The Bar 9.1 will be available in the US in June for $499.99. The Bar 9.1 is the first soundbar from JBL to include a subwoofer, and the first to have a built-in amplifier.",4.00,1.00
364,130,0.4,"As soon as she saw Julia, Kitty jumped over to her (Picture: Blue Cross /SWNS.COM).",NLI GPJ - NEU,3.00,"She has been reunited with her owner after being found in a suitcase in a supermarket car park. Kitty, a four-year-old ginger tabby, was found in a suitcase in a supermarket car park in the UK. She was found by a Blue Cross worker who spotted her while she was looking for a lost cat.","As soon as she saw Julia, Kitty jumped over to her (Picture: Blue Cross /SWNS.COM). -|GEN|- She has been reunited with her owner after being found in a suitcase in a supermarket car park. Kitty, a four-year-old ginger tabby, was found in a suitcase in a supermarket car park in the UK. She was found by a Blue Cross worker who spotted her while she was looking for a lost cat.",3.00,1.00
365,131,0.4,"The former editor of Waitrose Food Magazine who lost his job for joking about killing vegans, has adopted a plant-based diet for a week with the help of the journalist that leaked the emails leading to his dismissal.",NLI GPJ - NEU,3.00,"Chris Goode, who has written for the Guardian, the Independent and the Daily Telegraph, has now been vegan for a week and is documenting his experience on Twitter. The first thing he noticed was that he had lost weight. “I was really surprised by how much weight I lost,” he said.","The former editor of Waitrose Food Magazine who lost his job for joking about killing vegans, has adopted a plant-based diet for a week with the help of the journalist that leaked the emails leading to his dismissal. -|GEN|- Chris Goode, who has written for the Guardian, the Independent and the Daily Telegraph, has now been vegan for a week and is documenting his experience on Twitter. The first thing he noticed was that he had lost weight. “I was really surprised by how much weight I lost,” he said.",3.00,1.00
366,132,0.4,I’ve been corresponding with a few readers about how to install a TV antenna at home.,NLI GPJ - NEU,3.00,"The first thing I’d like to point out is that you don’t need a fancy TV antenna. You can use a simple, inexpensive antenna that you can buy at any electronics store. If you’re interested in learning how to install a TV antenna, here’s a step-by-step guide to help you get started.","I’ve been corresponding with a few readers about how to install a TV antenna at home. -|GEN|- The first thing I’d like to point out is that you don’t need a fancy TV antenna. You can use a simple, inexpensive antenna that you can buy at any electronics store. If you’re interested in learning how to install a TV antenna, here’s a step-by-step guide to help you get started.",3.00,1.00
367,133,0.4,"Cocos makes a popular 2D game development engine for mobile titles, and today the Chinese company is announcing Cocos Play, a new platform that lets any app developer embed hyper-casual games in their apps.",NLI GPJ - NEU,2.00,"The new platform is designed to make it easier for developers to create games that are more like toys than traditional games, and it’s built on top of the Cocos2D game engine. Cocos Play is available today for iOS and Android devices, and developers can use it to create games that are simple to play, easy to create, and fun to play.","Cocos makes a popular 2D game development engine for mobile titles, and today the Chinese company is announcing Cocos Play, a new platform that lets any app developer embed hyper-casual games in their apps. -|GEN|- The new platform is designed to make it easier for developers to create games that are more like toys than traditional games, and it’s built on top of the Cocos2D game engine. Cocos Play is available today for iOS and Android devices, and developers can use it to create games that are simple to play, easy to create, and fun to play.",2.00,1.00
368,134,0.4,(Picture: Facebook/Cotton Branch Farm Sanctuary).,NLI GPJ - NEU,3.00,"A group of animal lovers have set up a sanctuary in the US to care for abused and neglected farm animals. Cotton Branch Farm Sanctuary is a non-profit organisation that aims to help animals who are mistreated on farms and other agricultural facilities. The sanctuary, which is located in rural Tennessee, has been set up by a group of animal lovers who want to make a difference in the lives of farm animals.","(Picture: Facebook/Cotton Branch Farm Sanctuary). -|GEN|- A group of animal lovers have set up a sanctuary in the US to care for abused and neglected farm animals. Cotton Branch Farm Sanctuary is a non-profit organisation that aims to help animals who are mistreated on farms and other agricultural facilities. The sanctuary, which is located in rural Tennessee, has been set up by a group of animal lovers who want to make a difference in the lives of farm animals.",3.00,1.00
369,135,0.4,It was a full house at the much-anticipated concert given by talented vocal students from the College of Music at Mahidol University.,NLI GPJ - NEU,3.00,"The concert was held at the National Stadium on Saturday and was attended by more than 1,000 people. The concert was organised by the College of Music and the Department of Music at Mahidol University. The event was held in conjunction with the National Day celebrations and was a great success.","It was a full house at the much-anticipated concert given by talented vocal students from the College of Music at Mahidol University. -|GEN|- The concert was held at the National Stadium on Saturday and was attended by more than 1,000 people. The concert was organised by the College of Music and the Department of Music at Mahidol University. The event was held in conjunction with the National Day celebrations and was a great success.",3.00,1.00
370,136,0.4,"CLEVELAND, Ohio – A 12-year-old boy is the third suspect charged in a carjacking at a gas station in Cleveland’s Stockyards neighborhood.",NLI GPJ - NEU,2.00,"The boy was arrested Thursday afternoon after a carjacking was reported at the Shell gas station at the corner of West 65th Street and Detroit Avenue, Cleveland police said. The boy was arrested on suspicion of aggravated robbery, kidnapping, felonious assault and kidnapping.","CLEVELAND, Ohio – A 12-year-old boy is the third suspect charged in a carjacking at a gas station in Cleveland’s Stockyards neighborhood. -|GEN|- The boy was arrested Thursday afternoon after a carjacking was reported at the Shell gas station at the corner of West 65th Street and Detroit Avenue, Cleveland police said. The boy was arrested on suspicion of aggravated robbery, kidnapping, felonious assault and kidnapping.",2.00,1.00
371,137,0.4,"Although Makar Sankranti is three to four days away, the team of 'Street Dancer 3D' has already experienced what celebrating the kite festival is like.",NLI GPJ - NEU,3.00,"Makar Sankranti is the festival of the sun, when the sun is at its brightest and the days are longest. It is celebrated in the northern parts of India, particularly in Uttar Pradesh, Haryana, Punjab, Delhi, Rajasthan, and Gujarat. The team of 'Street Dancer 3D' has been celebrating the festival with their friends and family.","Although Makar Sankranti is three to four days away, the team of 'Street Dancer 3D' has already experienced what celebrating the kite festival is like. -|GEN|- Makar Sankranti is the festival of the sun, when the sun is at its brightest and the days are longest. It is celebrated in the northern parts of India, particularly in Uttar Pradesh, Haryana, Punjab, Delhi, Rajasthan, and Gujarat. The team of 'Street Dancer 3D' has been celebrating the festival with their friends and family.",3.00,1.00
372,138,0.4,UK’s central bank will assess the possibility of a ‘central bank digital currency’ - Financial giants.,NLI GPJ - NEU,3.00,The Bank of England will assess the possibility of a “central bank digital currency” (CBDC) as part of its efforts to “understand the implications of the use of distributed ledger technology”. The Bank of England’s financial stability committee (FSC) has published a report that outlines the possible implications of distributed ledger technology (DLT) for the financial system.,UK’s central bank will assess the possibility of a ‘central bank digital currency’ - Financial giants. -|GEN|- The Bank of England will assess the possibility of a “central bank digital currency” (CBDC) as part of its efforts to “understand the implications of the use of distributed ledger technology”. The Bank of England’s financial stability committee (FSC) has published a report that outlines the possible implications of distributed ledger technology (DLT) for the financial system.,2.00,1.50
373,139,0.4,Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations.,NLI GPJ - NEU,3.00,"House prices have risen by 5.7 per cent in the year to February, according to the latest official figures, but the average price of a home is still down 2.5 per cent on the previous year. The latest data shows that the average price of a home in England and Wales was £220,965 in February, up from £217,965 in the same month last year.","Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations. -|GEN|- House prices have risen by 5.7 per cent in the year to February, according to the latest official figures, but the average price of a home is still down 2.5 per cent on the previous year. The latest data shows that the average price of a home in England and Wales was £220,965 in February, up from £217,965 in the same month last year.",2.00,1.50
374,140,0.4,My best friend has a huge network of friends and family and many work and community commitments.,NLI GPJ - NEU,4.00,"She is a wonderful person and I love her dearly. However, she has a tendency to get stressed out and overwhelmed by the sheer volume of people and things she has to deal with. She’s a very good person and a great friend, but she needs to learn to say no. She has a tendency to be over-committed and I’ve tried to help her by being more organized and by asking her to take on less.","My best friend has a huge network of friends and family and many work and community commitments. -|GEN|- She is a wonderful person and I love her dearly. However, she has a tendency to get stressed out and overwhelmed by the sheer volume of people and things she has to deal with. She’s a very good person and a great friend, but she needs to learn to say no. She has a tendency to be over-committed and I’ve tried to help her by being more organized and by asking her to take on less.",4.00,1.00
375,116,0.96,"For all of my adult life, I've revelled in rare rib-eye steaks and oozing camembert.",NLI GPJ - NEU,4.00,"Now, as a grown-up, I often find myself eating a lot of pasta and pizza and other unhealthier alternatives. And because of this dietary shift, I've developed a host of problems with weight. At 30 pounds heavier than when I was 25, it's pretty easy to see where the extra flab is coming from.","For all of my adult life, I've revelled in rare rib-eye steaks and oozing camembert. -|GEN|- Now, as a grown-up, I often find myself eating a lot of pasta and pizza and other unhealthier alternatives. And because of this dietary shift, I've developed a host of problems with weight. At 30 pounds heavier than when I was 25, it's pretty easy to see where the extra flab is coming from.",3.00,1.33
376,117,0.96,"Here’s a 2020 resolution: Stop eating at the same old restaurants you’ve been to a thousand times and try something new, gosh darnit.",NLI GPJ - NEU,2.00,"We understand that if you’re anything like us you don’t eat at every restaurant in your city, heck, sometimes you don’t eat in your city at all, but if you’re like us you need to branch out, it’s time to take your food game to the next level, for your own good. And it’s never too soon to make a resolution like this.","Here’s a 2020 resolution: Stop eating at the same old restaurants you’ve been to a thousand times and try something new, gosh darnit. -|GEN|- We understand that if you’re anything like us you don’t eat at every restaurant in your city, heck, sometimes you don’t eat in your city at all, but if you’re like us you need to branch out, it’s time to take your food game to the next level, for your own good. And it’s never too soon to make a resolution like this.",2.00,1.00
